# MIB-2
mib-2	1.3.6.1.2.1
nwSetCategoryEntry	1.3.6.1.4.1.23.2.28.10.1.1
nwSetCategoryIndex	1.3.6.1.4.1.23.2.28.10.1.1.1
nwSetCategoryName	1.3.6.1.4.1.23.2.28.10.1.1.2
nwSetParamTable	1.3.6.1.4.1.23.2.28.10.2
nwSetParamEntry	1.3.6.1.4.1.23.2.28.10.2.1
nwSetParamCategoryIndex	1.3.6.1.4.1.23.2.28.10.2.1.1
nwSetParamIndex	1.3.6.1.4.1.23.2.28.10.2.1.2
nwSetParamName	1.3.6.1.4.1.23.2.28.10.2.1.3
nwSetParamType	1.3.6.1.4.1.23.2.28.10.2.1.4
nwSetParamValueInteger	1.3.6.1.4.1.23.2.28.10.2.1.5
nwSetParamValueString	1.3.6.1.4.1.23.2.28.10.2.1.6
nwSetParamLowerLimit	1.3.6.1.4.1.23.2.28.10.2.1.7
nwSetParamUpperLimit	1.3.6.1.4.1.23.2.28.10.2.1.8
nwSetParamDescrLength	1.3.6.1.4.1.23.2.28.10.2.1.9
nwSetParamMode	1.3.6.1.4.1.23.2.28.10.2.1.10
nwSetDescrTable	1.3.6.1.4.1.23.2.28.10.3
nwSetDescrEntry	1.3.6.1.4.1.23.2.28.10.3.1
nwSetDescrCategoryIndex	1.3.6.1.4.1.23.2.28.10.3.1.1
nwSetDescrParamIndex	1.3.6.1.4.1.23.2.28.10.3.1.2
nwSetDescrIndex	1.3.6.1.4.1.23.2.28.10.3.1.3
nwSetDescription	1.3.6.1.4.1.23.2.28.10.3.1.4
nwUserAcctTable	1.3.6.1.4.1.23.2.28.11.1
nwUserAcctEntry	1.3.6.1.4.1.23.2.28.11.1.1
nwUserID	1.3.6.1.4.1.23.2.28.11.1.1.1
nwUserName	1.3.6.1.4.1.23.2.28.11.1.1.2
nwUserDiskUsage	1.3.6.1.4.1.23.2.28.11.1.1.3
nwUserLastLoginTime	1.3.6.1.4.1.23.2.28.11.1.1.4
nwUserAccountStatus	1.3.6.1.4.1.23.2.28.11.1.1.5
nwUserPasswordStatus	1.3.6.1.4.1.23.2.28.11.1.1.6
nwUserBadLoginTransport	1.3.6.1.4.1.23.2.28.11.1.1.7
nwUserBadLoginAddress	1.3.6.1.4.1.23.2.28.11.1.1.8
nwUserBadLoginAttempts	1.3.6.1.4.1.23.2.28.11.1.1.9
nwUserFullName	1.3.6.1.4.1.23.2.28.11.1.1.10
nwUserVolUsageTable	1.3.6.1.4.1.23.2.28.11.2
nwUserVolUsageEntry	1.3.6.1.4.1.23.2.28.11.2.1
nwUserVolUserID	1.3.6.1.4.1.23.2.28.11.2.1.1
nwUserVolVolID	1.3.6.1.4.1.23.2.28.11.2.1.2
nwUserVolUsageUser	1.3.6.1.4.1.23.2.28.11.2.1.3
nwUserVolUsageVolume	1.3.6.1.4.1.23.2.28.11.2.1.4
nwUserVolUsageSpaceUsed	1.3.6.1.4.1.23.2.28.11.2.1.5
nwUserVolUsageLimit	1.3.6.1.4.1.23.2.28.11.2.1.6
nwVolUsageTable	1.3.6.1.4.1.23.2.28.11.3
nwVolUsageEntry	1.3.6.1.4.1.23.2.28.11.3.1
nwVolUsageVolID	1.3.6.1.4.1.23.2.28.11.3.1.1
nwVolUsageUserID	1.3.6.1.4.1.23.2.28.11.3.1.2
nwVolUsageVolume	1.3.6.1.4.1.23.2.28.11.3.1.3
nwVolUsageUser	1.3.6.1.4.1.23.2.28.11.3.1.4
nwVolUsageSpaceUsed	1.3.6.1.4.1.23.2.28.11.3.1.5
nwVolUsageLimit	1.3.6.1.4.1.23.2.28.11.3.1.6
graeff	1.3.6.1.4.1.5281
bshost	1.3.6.1.4.1.5281.1.1.1
bsservice	1.3.6.1.4.1.5281.1.1.2
bsstatus	1.3.6.1.4.1.5281.1.1.3
bscomment	1.3.6.1.4.1.5281.1.1.4
bsseverity	1.3.6.1.4.1.5281.1.1.5
bsackmode	1.3.6.1.4.1.5281.1.1.6
bsackuser	1.3.6.1.4.1.5281.1.1.7
ASXSoftware	1.3.6.1.4.1.326.2.2.2.1.1.9
ASNSoftware	1.3.6.1.4.1.326.2.6.2.1.2
ES2810ModSoftware	1.3.6.1.4.1.326.2.10.2.2.1.1.1.10.1
ASXPorts	1.3.6.1.4.1.326.2.2.2.1.2.2.1.62
ASXILMIStat	1.3.6.1.4.1.326.2.2.2.1.6.2.1.1.1.8
ASXOperStat	1.3.6.1.4.1.326.2.2.2.1.6.2.1.1.1.5
ASXNNIProtocol	1.3.6.1.4.1.326.2.2.2.1.6.2.1.1.1.66
ASXProcUtil	1.3.6.1.4.1.326.2.2.1.1.1.3.1.2
#
# UPS MIB
upsMIB 1.3.6.1.2.1.33
upsObjects 1.3.6.1.2.1.33.1
upsIdent 1.3.6.1.2.1.33.1.1
upsIdentManufacturer 1.3.6.1.2.1.33.1.1.1
upsIdentModel 1.3.6.1.2.1.33.1.1.2
upsSoftwareVersion 1.3.6.1.2.1.33.1.1.3
upsIdentAgentSoftwareVersion 1.3.6.1.2.1.33.1.1.4
upsIdentName 1.3.6.1.2.1.33.1.1.5
upsIdentAttachedDevices 1.3.6.1.2.1.33.1.1.6
upsBattery 1.3.6.1.2.1.33.1.2
upsBatteryStatus 1.3.6.1.2.1.33.1.2.1
upsSecondsOnBattery 1.3.6.1.2.1.33.1.2.2
upsEstimatedMinutesRemaining 1.3.6.1.2.1.33.1.2.3
upsEstimatedChargeRemaining 1.3.6.1.2.1.33.1.2.4
upsBatteryVoltage 1.3.6.1.2.1.33.1.2.5
upsBatterymandatory 1.3.6.1.2.1.33.1.2.6
upsBatteryTemperature 1.3.6.1.2.1.33.1.2.7
upsInput 1.3.6.1.2.1.33.1.3
upsInputLineBads 1.3.6.1.2.1.33.1.3.1
upsInputNumLines 1.3.6.1.2.1.33.1.3.2
upsInputTable 1.3.6.1.2.1.33.1.3.3
upsInputEntry 1.3.6.1.2.1.33.1.3.3.1
upsInputLineIndex 1.3.6.1.2.1.33.1.3.3.1.1
upsInputFrequency 1.3.6.1.2.1.33.1.3.3.1.2
upsInputVoltage 1.3.6.1.2.1.33.1.3.3.1.3
upsInputmandatory 1.3.6.1.2.1.33.1.3.3.1.4
upsInputTruePower 1.3.6.1.2.1.33.1.3.3.1.5
upsOutput 1.3.6.1.2.1.33.1.4
upsOutputSource 1.3.6.1.2.1.33.1.4.1
upsOutputFrequency 1.3.6.1.2.1.33.1.4.2
upsOutputNumLines 1.3.6.1.2.1.33.1.4.3
upsOutputTable 1.3.6.1.2.1.33.1.4.4
upsOutputEntry 1.3.6.1.2.1.33.1.4.4.1
upsOutputLineIndex 1.3.6.1.2.1.33.1.4.4.1.1
upsOutputVoltage 1.3.6.1.2.1.33.1.4.4.1.2
upsOutputmandatory 1.3.6.1.2.1.33.1.4.4.1.3
upsOutputPower 1.3.6.1.2.1.33.1.4.4.1.4
upsOutputPercentLoad 1.3.6.1.2.1.33.1.4.4.1.5
upsBypass 1.3.6.1.2.1.33.1.5
upsBypassFrequency 1.3.6.1.2.1.33.1.5.1
upsBypassNumLines 1.3.6.1.2.1.33.1.5.2
upsBypassTable 1.3.6.1.2.1.33.1.5.3
upsBypassEntry 1.3.6.1.2.1.33.1.5.3.1
upsBypassLineIndex 1.3.6.1.2.1.33.1.5.3.1.1
upsBypassVoltage 1.3.6.1.2.1.33.1.5.3.1.2
upsBypassmandatory 1.3.6.1.2.1.33.1.5.3.1.3
upsBypassPower 1.3.6.1.2.1.33.1.5.3.1.4
upsAlarm 1.3.6.1.2.1.33.1.6
upsAlarmsPresent 1.3.6.1.2.1.33.1.6.1
upsAlarmTable 1.3.6.1.2.1.33.1.6.2
upsAlarmEntry 1.3.6.1.2.1.33.1.6.2.1
upsAlarmId 1.3.6.1.2.1.33.1.6.2.1.1
upsAlarmDescr 1.3.6.1.2.1.33.1.6.2.1.2
upsAlarmTime 1.3.6.1.2.1.33.1.6.2.1.3
upsWellKnownAlarms 1.3.6.1.2.1.33.1.6.3
upsAlarmBatteryBad 1.3.6.1.2.1.33.1.6.3.1
upsAlarmOnBattery 1.3.6.1.2.1.33.1.6.3.2
upsAlarmLowBattery 1.3.6.1.2.1.33.1.6.3.3
upsAlarmDepletedBattery 1.3.6.1.2.1.33.1.6.3.4
upsAlarmTempBad 1.3.6.1.2.1.33.1.6.3.5
upsAlarmInputBad 1.3.6.1.2.1.33.1.6.3.6
upsAlarmOutputBad 1.3.6.1.2.1.33.1.6.3.7
upsAlarmOutputOverload 1.3.6.1.2.1.33.1.6.3.8
upsAlarmOnBypass 1.3.6.1.2.1.33.1.6.3.9
upsAlarmBypassBad 1.3.6.1.2.1.33.1.6.3.10
upsAlarmOutputOffAsRequested 1.3.6.1.2.1.33.1.6.3.11
upsOffAsRequested 1.3.6.1.2.1.33.1.6.3.12
upsAlarmChargerFailed 1.3.6.1.2.1.33.1.6.3.13
upsOutputOff 1.3.6.1.2.1.33.1.6.3.14
upsSystemOff 1.3.6.1.2.1.33.1.6.3.15
upsAlarmFanFailure 1.3.6.1.2.1.33.1.6.3.16
upsAlarmFuseFailure 1.3.6.1.2.1.33.1.6.3.17
upsAlarmGeneralFault 1.3.6.1.2.1.33.1.6.3.18
upsAlarmDiagnosticTestFailed 1.3.6.1.2.1.33.1.6.3.19
upsAlarmCommunicationsLost 1.3.6.1.2.1.33.1.6.3.20
upsAlarmAwaitingPower 1.3.6.1.2.1.33.1.6.3.21
upsAlarmShutdownPending 1.3.6.1.2.1.33.1.6.3.22
upsAlarmShutdownImminent 1.3.6.1.2.1.33.1.6.3.23
upsAlarmTestInProgress 1.3.6.1.2.1.33.1.6.3.24
upsTest 1.3.6.1.2.1.33.1.7
upsTestId 1.3.6.1.2.1.33.1.7.1
upsTestSpinLock 1.3.6.1.2.1.33.1.7.2
upsTestResultsSummary 1.3.6.1.2.1.33.1.7.3
upsTestResultsDetail 1.3.6.1.2.1.33.1.7.4
upsTestStartTime 1.3.6.1.2.1.33.1.7.5
upsTestElapsedTime 1.3.6.1.2.1.33.1.7.6
upsWellKnownTests 1.3.6.1.2.1.33.1.7.7
upsTestNoTestsInitiated 1.3.6.1.2.1.33.1.7.7.1
upsTestAbortTestInProgress 1.3.6.1.2.1.33.1.7.7.2
upsTestGeneralSystemsTest 1.3.6.1.2.1.33.1.7.7.3
upsTestQuickBatteryTest 1.3.6.1.2.1.33.1.7.7.4
upsTestDeepBatteryCalibration 1.3.6.1.2.1.33.1.7.7.5
upsControl 1.3.6.1.2.1.33.1.8
upsShutdownType 1.3.6.1.2.1.33.1.8.1
upsShutdownAfterDelay 1.3.6.1.2.1.33.1.8.2
upsStartupAfterDelay 1.3.6.1.2.1.33.1.8.3
upsRebootWithDuration 1.3.6.1.2.1.33.1.8.4
upsAutoRestart 1.3.6.1.2.1.33.1.8.5
upsConfig 1.3.6.1.2.1.33.1.9
upsConfigInputVoltage 1.3.6.1.2.1.33.1.9.1
upsConfigInputFreq 1.3.6.1.2.1.33.1.9.2
upsConfigOutputVoltage 1.3.6.1.2.1.33.1.9.3
upsConfigOutputFreq 1.3.6.1.2.1.33.1.9.4
upsConfigOutputVA 1.3.6.1.2.1.33.1.9.5
upsConfigOutputPower 1.3.6.1.2.1.33.1.9.6
upsConfigLowBattTime 1.3.6.1.2.1.33.1.9.7
upsConfigAudibleStatus 1.3.6.1.2.1.33.1.9.8
upsConfigLowVoltageTransferPoint 1.3.6.1.2.1.33.1.9.9
upsConfigHighVoltageTransferPoint 1.3.6.1.2.1.33.1.9.10
upsTraps 1.3.6.1.2.1.33.2
upsTraps# 1.3.6.1.2.1.33.2.0
upsTrapOnBattery 1.3.6.1.2.1.33.2.0.1
upsTrapTestCompleted 1.3.6.1.2.1.33.2.0.2
upsTrapAlarmEntryAdded 1.3.6.1.2.1.33.2.0.3
upsTrapAlarmEntryRemoved 1.3.6.1.2.1.33.2.0.4
ASXSoftware	1.3.6.1.4.1.326.2.2.2.1.1.9
ASNSoftware	1.3.6.1.4.1.326.2.6.2.1.2
ES2810ModSoftware	1.3.6.1.4.1.326.2.10.2.2.1.1.1.10.1
ASXPorts	1.3.6.1.4.1.326.2.2.2.1.2.2.1.62
ASXILMIStat	1.3.6.1.4.1.326.2.2.2.1.6.2.1.1.1.8
ASXOperStat	1.3.6.1.4.1.326.2.2.2.1.6.2.1.1.1.5
ASXNNIProtocol	1.3.6.1.4.1.326.2.2.2.1.6.2.1.1.1.66
ASXProcUtil	1.3.6.1.4.1.326.2.2.1.1.1.3.1.2
dhcp	1.3.6.1.4.1.311.1.3
dhcpPar	1.3.6.1.4.1.311.1.3.1
dhcpScope	1.3.6.1.4.1.311.1.3.2
parDhcpStartTime	1.3.6.1.4.1.311.1.3.1.1
parDhcpTotalNoOfDiscovers	1.3.6.1.4.1.311.1.3.1.2
parDhcpTotalNoOfRequests	1.3.6.1.4.1.311.1.3.1.3
parDhcpTotalNoOfReleases	1.3.6.1.4.1.311.1.3.1.4
parDhcpTotalNoOfOffers	1.3.6.1.4.1.311.1.3.1.5
parDhcpTotalNoOfAcks	1.3.6.1.4.1.311.1.3.1.6
parDhcpTotalNoOfNacks	1.3.6.1.4.1.311.1.3.1.7
parDhcpTotalNoOfDeclines	1.3.6.1.4.1.311.1.3.1.8
scopeTable	1.3.6.1.4.1.311.1.3.2.1
scopeTableEntry	1.3.6.1.4.1.311.1.3.2.1.1
subnetAdd	1.3.6.1.4.1.311.1.3.2.1.1.1
noAddInUse	1.3.6.1.4.1.311.1.3.2.1.1.2
noAddFree	1.3.6.1.4.1.311.1.3.2.1.1.3
noPendingOffers	1.3.6.1.4.1.311.1.3.2.1.1.4
ftpServer	1.3.6.1.4.1.311.1.7.2
ftpStatistics	1.3.6.1.4.1.311.1.7.2.1
totalBytesSentHighWord	1.3.6.1.4.1.311.1.7.2.1.1
totalBytesSentLowWord	1.3.6.1.4.1.311.1.7.2.1.2
totalBytesReceivedHighWord	1.3.6.1.4.1.311.1.7.2.1.3
totalBytesReceivedLowWord	1.3.6.1.4.1.311.1.7.2.1.4
totalFilesSent	1.3.6.1.4.1.311.1.7.2.1.5
totalFilesReceived	1.3.6.1.4.1.311.1.7.2.1.6
currentAnonymousUsers	1.3.6.1.4.1.311.1.7.2.1.7
currentNonAnonymousUsers	1.3.6.1.4.1.311.1.7.2.1.8
totalAnonymousUsers	1.3.6.1.4.1.311.1.7.2.1.9
totalNonAnonymousUsers	1.3.6.1.4.1.311.1.7.2.1.10
maxAnonymousUsers	1.3.6.1.4.1.311.1.7.2.1.11
maxNonAnonymousUsers	1.3.6.1.4.1.311.1.7.2.1.12
currentConnections	1.3.6.1.4.1.311.1.7.2.1.13
maxConnections	1.3.6.1.4.1.311.1.7.2.1.14
connectionAttempts	1.3.6.1.4.1.311.1.7.2.1.15
logonAttempts	1.3.6.1.4.1.311.1.7.2.1.16
gopherServer	1.3.6.1.4.1.311.1.7.4
gopherStatistics	1.3.6.1.4.1.311.1.7.4.1
totalBytesSentHighWord	1.3.6.1.4.1.311.1.7.4.1.1
totalBytesSentLowWord	1.3.6.1.4.1.311.1.7.4.1.2
totalBytesReceivedHighWord	1.3.6.1.4.1.311.1.7.4.1.3
totalBytesReceivedLowWord	1.3.6.1.4.1.311.1.7.4.1.4
totalFilesSent	1.3.6.1.4.1.311.1.7.4.1.5
totalDirectorySent	1.3.6.1.4.1.311.1.7.4.1.6
totalSearchesDone	1.3.6.1.4.1.311.1.7.4.1.7
currentAnonymousUsers	1.3.6.1.4.1.311.1.7.4.1.8
currentNonAnonymousUsers	1.3.6.1.4.1.311.1.7.4.1.9
totalAnonymousUsers	1.3.6.1.4.1.311.1.7.4.1.10
totalNonAnonymousUsers	1.3.6.1.4.1.311.1.7.4.1.11
maxAnonymousUsers	1.3.6.1.4.1.311.1.7.4.1.12
maxNonAnonymousUsers	1.3.6.1.4.1.311.1.7.4.1.13
currentConnections	1.3.6.1.4.1.311.1.7.4.1.14
maxConnections	1.3.6.1.4.1.311.1.7.4.1.15
connectionAttempts	1.3.6.1.4.1.311.1.7.4.1.16
logonAttempts	1.3.6.1.4.1.311.1.7.4.1.17
abortedConnections	1.3.6.1.4.1.311.1.7.4.1.18
host	1.3.6.1.2.1.25
hrSystem	1.3.6.1.2.1.25.1
hrStorage	1.3.6.1.2.1.25.2
hrDevice	1.3.6.1.2.1.25.3
hrSWRun	1.3.6.1.2.1.25.4
hrSWRunPerf	1.3.6.1.2.1.25.5
hrSWInstalled	1.3.6.1.2.1.25.6
hrStorageTypes	1.3.6.1.2.1.25.2.1
hrStorageOther	1.3.6.1.2.1.25.2.1.1
hrStorageRam	1.3.6.1.2.1.25.2.1.2
hrStorageVirtualMemory	1.3.6.1.2.1.25.2.1.3
hrStorageFixedDisk	1.3.6.1.2.1.25.2.1.4
hrStorageRemovableDisk	1.3.6.1.2.1.25.2.1.5
hrStorageFloppyDisk	1.3.6.1.2.1.25.2.1.6
hrStorageCompactDisc	1.3.6.1.2.1.25.2.1.7
hrStorageRamDisk	1.3.6.1.2.1.25.2.1.8
hrDeviceTypes	1.3.6.1.2.1.25.3.1
hrDeviceOther	1.3.6.1.2.1.25.3.1.1
hrDeviceUnknown	1.3.6.1.2.1.25.3.1.2
hrDeviceProcessor	1.3.6.1.2.1.25.3.1.3
hrDeviceNetwork	1.3.6.1.2.1.25.3.1.4
hrDevicePrinter	1.3.6.1.2.1.25.3.1.5
hrDeviceDiskStorage	1.3.6.1.2.1.25.3.1.6
hrDeviceVideo	1.3.6.1.2.1.25.3.1.10
hrDeviceAudio	1.3.6.1.2.1.25.3.1.11
hrDeviceCoprocessor	1.3.6.1.2.1.25.3.1.12
hrDeviceKeyboard	1.3.6.1.2.1.25.3.1.13
hrDeviceModem	1.3.6.1.2.1.25.3.1.14
hrDeviceParallelPort	1.3.6.1.2.1.25.3.1.15
hrDevicePointing	1.3.6.1.2.1.25.3.1.16
hrDeviceSerialPort	1.3.6.1.2.1.25.3.1.17
hrDeviceTape	1.3.6.1.2.1.25.3.1.18
hrDeviceClock	1.3.6.1.2.1.25.3.1.19
hrDeviceVolatileMemory	1.3.6.1.2.1.25.3.1.20
hrDeviceNonVolatileMemory	1.3.6.1.2.1.25.3.1.21
hrFSTypes	1.3.6.1.2.1.25.3.9
hrFSOther	1.3.6.1.2.1.25.3.9.1
hrFSUnknown	1.3.6.1.2.1.25.3.9.2
hrFSBerkeleyFFS	1.3.6.1.2.1.25.3.9.3
hrFSSys5FS	1.3.6.1.2.1.25.3.9.4
hrFSFat	1.3.6.1.2.1.25.3.9.5
hrFSHPFS	1.3.6.1.2.1.25.3.9.6
hrFSHFS	1.3.6.1.2.1.25.3.9.7
hrFSMFS	1.3.6.1.2.1.25.3.9.8
hrFSNTFS	1.3.6.1.2.1.25.3.9.9
hrFSVNode	1.3.6.1.2.1.25.3.9.10
hrFSJournaled	1.3.6.1.2.1.25.3.9.11
hrFSiso9660	1.3.6.1.2.1.25.3.9.12
hrFSRockRidge	1.3.6.1.2.1.25.3.9.13
hrFSNFS	1.3.6.1.2.1.25.3.9.14
hrFSNetware	1.3.6.1.2.1.25.3.9.15
hrFSAFS	1.3.6.1.2.1.25.3.9.16
hrFSDFS	1.3.6.1.2.1.25.3.9.17
hrFSAppleshare	1.3.6.1.2.1.25.3.9.18
hrFSRFS	1.3.6.1.2.1.25.3.9.19
hrFSDGCFS	1.3.6.1.2.1.25.3.9.20
hrFSBFS	1.3.6.1.2.1.25.3.9.21
hrSystemUptime	1.3.6.1.2.1.25.1.1
hrSystemDate	1.3.6.1.2.1.25.1.2
hrSystemInitialLoadDevice	1.3.6.1.2.1.25.1.3
hrSystemInitialLoadParameters	1.3.6.1.2.1.25.1.4
hrSystemNumUsers	1.3.6.1.2.1.25.1.5
hrSystemProcesses	1.3.6.1.2.1.25.1.6
hrSystemMaxProcesses	1.3.6.1.2.1.25.1.7
hrMemorySize	1.3.6.1.2.1.25.2.2
hrStorageTable	1.3.6.1.2.1.25.2.3
hrStorageEntry	1.3.6.1.2.1.25.2.3.1
hrStorageIndex	1.3.6.1.2.1.25.2.3.1.1
hrStorageType	1.3.6.1.2.1.25.2.3.1.2
hrStorageDescr	1.3.6.1.2.1.25.2.3.1.3
hrStorageAllocationUnits	1.3.6.1.2.1.25.2.3.1.4
hrStorageSize	1.3.6.1.2.1.25.2.3.1.5
hrStorageUsed	1.3.6.1.2.1.25.2.3.1.6
hrStorageAllocationFailures	1.3.6.1.2.1.25.2.3.1.7
hrDeviceTable	1.3.6.1.2.1.25.3.2
hrDeviceEntry	1.3.6.1.2.1.25.3.2.1
hrDeviceIndex	1.3.6.1.2.1.25.3.2.1.1
hrDeviceType	1.3.6.1.2.1.25.3.2.1.2
hrDeviceDescr	1.3.6.1.2.1.25.3.2.1.3
hrDeviceID	1.3.6.1.2.1.25.3.2.1.4
hrDeviceStatus	1.3.6.1.2.1.25.3.2.1.5
hrDeviceErrors	1.3.6.1.2.1.25.3.2.1.6
hrProcessorTable	1.3.6.1.2.1.25.3.3
hrProcessorEntry	1.3.6.1.2.1.25.3.3.1
hrProcessorFrwID	1.3.6.1.2.1.25.3.3.1.1
hrProcessorLoad	1.3.6.1.2.1.25.3.3.1.2
hrNetworkTable	1.3.6.1.2.1.25.3.4
hrNetworkEntry	1.3.6.1.2.1.25.3.4.1
hrNetworkIfIndex	1.3.6.1.2.1.25.3.4.1.1
hrPrinterTable	1.3.6.1.2.1.25.3.5
hrPrinterEntry	1.3.6.1.2.1.25.3.5.1
hrPrinterStatus	1.3.6.1.2.1.25.3.5.1.1
hrPrinterDetectedErrorState	1.3.6.1.2.1.25.3.5.1.2
hrDiskStorageTable	1.3.6.1.2.1.25.3.6
hrDiskStorageEntry	1.3.6.1.2.1.25.3.6.1
hrDiskStorageAccess	1.3.6.1.2.1.25.3.6.1.1
hrDiskStorageMedia	1.3.6.1.2.1.25.3.6.1.2
hrDiskStorageRemoveble	1.3.6.1.2.1.25.3.6.1.3
hrDiskStorageCapacity	1.3.6.1.2.1.25.3.6.1.4
hrPartitionTable	1.3.6.1.2.1.25.3.7
hrPartitionEntry	1.3.6.1.2.1.25.3.7.1
hrPartitionIndex	1.3.6.1.2.1.25.3.7.1.1
hrPartitionLabel	1.3.6.1.2.1.25.3.7.1.2
hrPartitionID	1.3.6.1.2.1.25.3.7.1.3
hrPartitionSize	1.3.6.1.2.1.25.3.7.1.4
hrPartitionFSIndex	1.3.6.1.2.1.25.3.7.1.5
hrFSTable	1.3.6.1.2.1.25.3.8
hrFSEntry	1.3.6.1.2.1.25.3.8.1
hrFSIndex	1.3.6.1.2.1.25.3.8.1.1
hrFSMountPoint	1.3.6.1.2.1.25.3.8.1.2
hrFSRemoteMountPoint	1.3.6.1.2.1.25.3.8.1.3
hrFSType	1.3.6.1.2.1.25.3.8.1.4
hrFSAccess	1.3.6.1.2.1.25.3.8.1.5
hrFSBootable	1.3.6.1.2.1.25.3.8.1.6
hrFSStorageIndex	1.3.6.1.2.1.25.3.8.1.7
hrFSLastFullBackupDate	1.3.6.1.2.1.25.3.8.1.8
hrFSLastPartialBackupDate	1.3.6.1.2.1.25.3.8.1.9
hrSWOSIndex	1.3.6.1.2.1.25.4.1
hrSWRunTable	1.3.6.1.2.1.25.4.2
hrSWRunEntry	1.3.6.1.2.1.25.4.2.1
hrSWRunIndex	1.3.6.1.2.1.25.4.2.1.1
hrSWRunName	1.3.6.1.2.1.25.4.2.1.2
hrSWRunID	1.3.6.1.2.1.25.4.2.1.3
hrSWRunPath	1.3.6.1.2.1.25.4.2.1.4
hrSWRunParameters	1.3.6.1.2.1.25.4.2.1.5
hrSWRunType	1.3.6.1.2.1.25.4.2.1.6
hrSWRunStatus	1.3.6.1.2.1.25.4.2.1.7
hrSWRunPerfTable	1.3.6.1.2.1.25.5.1
hrSWRunPerfEntry	1.3.6.1.2.1.25.5.1.1
hrSWRunPerfCPU	1.3.6.1.2.1.25.5.1.1.1
hrSWRunPerfMem	1.3.6.1.2.1.25.5.1.1.2
hrSWInstalledLastChange	1.3.6.1.2.1.25.6.1
hrSWInstalledLastUpdateTime	1.3.6.1.2.1.25.6.2
hrSWInstalledTable	1.3.6.1.2.1.25.6.3
hrSWInstalledEntry	1.3.6.1.2.1.25.6.3.1
hrSWInstalledIndex	1.3.6.1.2.1.25.6.3.1.1
hrSWInstalledName	1.3.6.1.2.1.25.6.3.1.2
hrSWInstalledID	1.3.6.1.2.1.25.6.3.1.3
hrSWInstalledType	1.3.6.1.2.1.25.6.3.1.4
hrSWInstalledDate	1.3.6.1.2.1.25.6.3.1.5
httpServer	1.3.6.1.4.1.311.1.7.3
httpStatistics	1.3.6.1.4.1.311.1.7.3.1
totalBytesSentHighWord	1.3.6.1.4.1.311.1.7.3.1.1
totalBytesSentLowWord	1.3.6.1.4.1.311.1.7.3.1.2
totalBytesReceivedHighWord	1.3.6.1.4.1.311.1.7.3.1.3
totalBytesReceivedLowWord	1.3.6.1.4.1.311.1.7.3.1.4
totalFilesSent	1.3.6.1.4.1.311.1.7.3.1.5
currentAnonymousUsers	1.3.6.1.4.1.311.1.7.3.1.6
currentNonAnonymousUsers	1.3.6.1.4.1.311.1.7.3.1.7
totalAnonymousUsers	1.3.6.1.4.1.311.1.7.3.1.8
totalNonAnonymousUsers	1.3.6.1.4.1.311.1.7.3.1.9
maxAnonymousUsers	1.3.6.1.4.1.311.1.7.3.1.10
maxNonAnonymousUsers	1.3.6.1.4.1.311.1.7.3.1.11
currentConnections	1.3.6.1.4.1.311.1.7.3.1.12
maxConnections	1.3.6.1.4.1.311.1.7.3.1.13
connectionAttempts	1.3.6.1.4.1.311.1.7.3.1.14
logonAttempts	1.3.6.1.4.1.311.1.7.3.1.15
totalGets	1.3.6.1.4.1.311.1.7.3.1.16
totalPosts	1.3.6.1.4.1.311.1.7.3.1.17
totalHeads	1.3.6.1.4.1.311.1.7.3.1.18
totalOthers	1.3.6.1.4.1.311.1.7.3.1.19
totalCGIRequests	1.3.6.1.4.1.311.1.7.3.1.20
totalBGIRequests	1.3.6.1.4.1.311.1.7.3.1.21
totalNotFoundErrors	1.3.6.1.4.1.311.1.7.3.1.22
internetServer	1.3.6.1.4.1.311.1.7
inetSrvCommon	1.3.6.1.4.1.311.1.7.1
inetSrvStats	1.3.6.1.4.1.311.1.7.1.1
lanmanager	1.3.6.1.4.1.77
lanmgr-2	1.3.6.1.4.1.77.1
common	1.3.6.1.4.1.77.1.1
server	1.3.6.1.4.1.77.1.2
workstation	1.3.6.1.4.1.77.1.3
domain	1.3.6.1.4.1.77.1.4
comVersionMaj	1.3.6.1.4.1.77.1.1.1
comVersionMin	1.3.6.1.4.1.77.1.1.2
comType	1.3.6.1.4.1.77.1.1.3
comStatStart	1.3.6.1.4.1.77.1.1.4
comStatNumNetIOs	1.3.6.1.4.1.77.1.1.5
comStatFiNetIOs	1.3.6.1.4.1.77.1.1.6
comStatFcNetIOs	1.3.6.1.4.1.77.1.1.7
svDescription	1.3.6.1.4.1.77.1.2.1
svSvcNumber	1.3.6.1.4.1.77.1.2.2
svSvcTable	1.3.6.1.4.1.77.1.2.3
svSvcEntry	1.3.6.1.4.1.77.1.2.3.1
svSvcName	1.3.6.1.4.1.77.1.2.3.1.1
svSvcInstalledState	1.3.6.1.4.1.77.1.2.3.1.2
svSvcOperatingState	1.3.6.1.4.1.77.1.2.3.1.3
svSvcCanBeUninstalled	1.3.6.1.4.1.77.1.2.3.1.4
svSvcEntrysvSvcCanBePaused	1.3.6.1.4.1.77.1.2.3.1.5
svStatOpens	1.3.6.1.4.1.77.1.2.4
svStatDevOpens	1.3.6.1.4.1.77.1.2.5
svStatQueuedJobs	1.3.6.1.4.1.77.1.2.6
svStatSOpens	1.3.6.1.4.1.77.1.2.7
